img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
/games/boxart/full_5563178AmericaFrontccc.jpg,Grand Theft Auto V,PS4,Action,Rockstar Games,Rockstar North,97.0,19.39,6.06,0.6,9.71,3.02,2014-11-18,2018-01-03
/games/boxart/full_4990510AmericaFrontccc.jpg,Call of Duty: Black Ops 3,PS4,Shooter,Activision,Treyarch,81.0,15.09,6.18,0.41,6.05,2.44,2015-11-06,2018-01-14
/games/boxart/full_4653215AmericaFrontccc.jpg,Red Dead Redemption 2,PS4,Action-Adventure,Rockstar Games,Rockstar Games,98.0,13.94,5.26,0.21,6.21,2.26,2018-10-26,2018-11-02
/games/boxart/full_1977964AmericaFrontccc.jpg,Call of Duty: Black Ops II,X360,Shooter,Activision,Treyarch,84.0,13.86,8.27,0.07,4.32,1.2,2012-11-13,2018-04-07
/games/boxart/full_4649679AmericaFrontccc.png,Call of Duty: Black Ops II,PS3,Shooter,Activision,Treyarch,80.0,13.8,4.99,0.65,5.88,2.28,2012-11-13,2018-04-07
/games/boxart/full_4380292AmericaFrontccc.jpg,Call of Duty: WWII,PS4,Shooter,Activision,Sledgehammer Games,81.0,13.4,4.67,0.4,6.21,2.12,2017-11-03,2017-12-31
/games/boxart/full_5257064AmericaFrontccc.jpg,FIFA 18,PS4,Sports,EA Sports,EA Vancouver,83.0,11.8,1.27,0.15,8.64,1.73,2017-09-29,2018-04-02
/games/boxart/full_7661370AmericaFrontccc.jpg,FIFA 17,PS4,Sports,Electronic Arts,EA Canada,89.0,10.94,1.26,0.12,7.95,1.61,2016-09-27,2018-03-28
/games/boxart/full_8522439AmericaFrontccc.jpg,Call of Duty: Ghosts,X360,Shooter,Activision,Infinity Ward,69.0,10.41,6.76,0.04,2.64,0.98,2013-11-05,2018-03-21
/games/boxart/full_3698558AmericaFrontccc.jpg,Call of Duty: Ghosts,PS3,Shooter,Activision,Infinity Ward,75.0,10.13,4.11,0.39,4.01,1.62,2013-11-05,2018-03-21
/games/boxart/full_halo-reach_6AmericaFront.jpg,Halo: Reach,X360,Shooter,Microsoft Game Studios,Bungie,93.0,9.97,7.08,0.08,2.01,0.8,2010-09-14,2018-10-11
